time,open,high,low,close,Volume,Volume MA
178810200,86.879997,87.419998,84.620003,85.620003,NaN,NaN
179415000,85.620003,86.730003,82.839996,83.300003,NaN,NaN
180019800,83.300003,86.389999,81.57,85.879997,NaN,NaN
180624600,85.879997,86.860001,83.800003,86.190002,NaN,NaN
181229400,86.190002,86.379997,82.57,85.949997,NaN,NaN
181834200,85.980003,89.419998,85.559998,88.209999,NaN,NaN
182439000,88.209999,90.800003,87.730003,88.860001,NaN,NaN
183043800,88.860001,91.75,88.43,89.830002,NaN,NaN
183652200,89.830002,91.010002,88.349998,89.040001,NaN,NaN
184257000,89.040001,90.18,87.629997,89.330002,NaN,NaN
184861800,89.330002,92.330002,88.349998,90.970001,NaN,NaN
185466600,90.970001,92.300003,88.790001,89.529999,NaN,NaN
186071400,89.529999,91.739998,88.650002,91.239998,NaN,NaN
186676200,91.239998,91.900002,86.540001,86.82,NaN,NaN
187281000,86.82,88.790001,86.150002,87.830002,NaN,NaN
187885800,87.830002,90.089996,87.32,88.800003,NaN,NaN
188490600,88.800003,90.449997,87.639999,90.25,NaN,NaN
189095400,90.25,91.18,89.169998,90.900002,NaN,NaN
189700200,90.900002,95.709999,90.849998,94.949997,NaN,NaN
190305000,94.949997,98.339996,94.379997,97,NaN,NaN
190909800,97,99.879997,96.360001,99.209999,NaN,NaN
191514600,99.209999,101.989998,97.660004,100.860001,NaN,NaN
192119400,100.860001,102.57,98.639999,99.459999,NaN,NaN
192724200,99.459999,101.800003,98.769997,99.669998,NaN,NaN
193329000,99.669998,103.07,98.5,102.099998,NaN,NaN
193933800,102.099998,102.919998,98.599998,99.709999,NaN,NaN
194538600,99.709999,101.260002,98.230003,99.110001,NaN,NaN
195143400,99.110001,102.459999,98.93,100.860001,NaN,NaN
195748200,100.860001,102.010002,99.239998,100.580002,NaN,NaN
196353000,100.580002,104.389999,100.139999,102.849998,NaN,NaN
196957800,102.849998,103.360001,101.230003,102.25,NaN,NaN
197562600,102.32,104.629997,99.870003,100.349998,NaN,NaN
198167400,100.349998,101.769997,99.57,100.669998,NaN,NaN
198772200,100.669998,104.040001,100.32,102.290001,NaN,NaN
199373400,102.290001,103.18,100.910004,101.639999,NaN,NaN
199978200,101.639999,102.269997,100.139999,101.879997,NaN,NaN
200583000,101.879997,103.989998,100.82,101.339996,NaN,NaN
201187800,101.339996,102.529999,100.410004,101.260002,NaN,NaN
201792600,101.07,101.07,98.260002,100.18,NaN,NaN
202397400,100.18,101.099998,98.790001,99.150002,NaN,NaN
203002200,99.150002,101.220001,97.970001,100.919998,NaN,NaN
203607000,101,104.800003,100.839996,103.760002,NaN,NaN
204211800,103.760002,104.82,102.400002,103.720001,NaN,NaN
204816600,103.720001,105.07,102.949997,104.110001,NaN,NaN
205421400,104.110001,105.410004,102.800003,104.980003,NaN,NaN
206026200,104.980003,106.779999,103.870003,104.68,NaN,NaN
206631000,104.68,105.32,103.050003,104.059998,NaN,NaN
207235800,104.059998,104.690002,102.309998,103.440002,NaN,NaN
207840600,103.440002,105.18,102.639999,103.790001,NaN,NaN
208445400,103.790001,105.239998,103.010002,104.25,NaN,NaN
209050200,104.25,105.410004,101.959999,102.370003,NaN,NaN
209655000,102.370003,102.650002,100.43,101.480003,NaN,NaN
210259800,101.480003,104.839996,101.220001,104.300003,NaN,NaN
210864600,104.300003,105.730003,103.790001,104.650002,NaN,NaN
211469400,104.650002,106.809998,103.279999,106.269997,NaN,NaN
212074200,106.269997,108.720001,105.739998,106.800003,NaN,NaN
212679000,106.800003,107.699997,103.599998,104.169998,NaN,NaN
213283800,104.169998,104.620003,102.050003,102.559998,NaN,NaN
213888600,102.480003,102.480003,100.019997,100.879997,NaN,NaN
214493400,100.879997,102.32,99.239998,99.959999,NaN,NaN
215098200,99.959999,103.099998,99.209999,102.900002,NaN,NaN
215706600,102.900002,103.779999,100.480003,100.82,NaN,NaN
216311400,100.620003,100.620003,98.18,99.239998,NaN,NaN
216916200,99.239998,102.769997,98.529999,101.919998,NaN,NaN
217521000,101.919998,103.510002,101.410004,103.150002,NaN,NaN
218125800,103.150002,103.459999,101.459999,102.760002,NaN,NaN
218730600,102.760002,105.360001,102.529999,104.699997,NaN,NaN
219335400,104.699997,105.889999,103.800003,104.260002,NaN,NaN
219940200,104.260002,105.589996,102.989998,104.839996,NaN,NaN
220545000,104.839996,107.82,104.580002,107.459999,NaN,NaN
221149800,107.459999,107.970001,104.300003,105.010002,NaN,NaN
221754600,105.010002,105.75,102.75,104.010002,NaN,NaN
222359400,104.010002,104.449997,102.349998,103.32,NaN,NaN
222964200,103.32,104.080002,101.080002,101.93,NaN,NaN
223569000,101.93,103.32,100.910004,101.879997,NaN,NaN
224173800,101.879997,102.650002,99.739998,100.220001,NaN,NaN
224778600,100.220001,102.220001,99.510002,100.489998,NaN,NaN
225383400,100.489998,101.220001,98.82,99.480003,NaN,NaN
225988200,99.480003,101.669998,98.910004,101.199997,NaN,NaN
226593000,101.199997,101.849998,99.489998,100.650002,NaN,NaN
227197800,100.650002,102.699997,100.239998,101.860001,NaN,NaN
227802600,101.860001,102.129997,98.709999,99.059998,NaN,NaN
228407400,99.059998,100.120003,97.800003,99.209999,NaN,NaN
229012200,99.209999,99.5,97.43,98.349998,NaN,NaN
229617000,98.349998,102.07,98.080002,101.040001,NaN,NaN
230221800,101.040001,101.360001,98.080002,98.440002,NaN,NaN
230823000,98.32,98.870003,96.529999,98.440002,NaN,NaN
231427800,98.440002,100.790001,97.970001,99.489998,NaN,NaN
232032600,99.489998,100.089996,97.910004,99.029999,NaN,NaN
232637400,99.029999,100.93,98.760002,99.449997,NaN,NaN
233242200,99.349998,99.349998,95.919998,96.269997,NaN,NaN
233847000,96.269997,98.120003,95.519997,97.690002,NaN,NaN
234451800,97.690002,98.860001,96.599998,98.459999,NaN,NaN
235056600,98.459999,100.470001,98.059998,99.970001,NaN,NaN
235661400,99.970001,101.650002,99.559998,101.190002,NaN,NaN
236266200,101.190002,101.629997,99.300003,100.099998,NaN,NaN
236871000,100.099998,100.720001,99.120003,99.790001,NaN,NaN
237475800,99.790001,100.68,98.809998,100.18,NaN,NaN
238080600,100.18,102.57,99.940002,101.669998,NaN,NaN
238685400,101.669998,101.849998,97.709999,98.849998,NaN,NaN
239290200,98.849998,99.839996,97.529999,98.760002,NaN,NaN
239895000,98.760002,99.449997,97.309998,97.879997,NaN,NaN
240499800,97.879997,98.690002,96.779999,97.510002,NaN,NaN
241104600,97.510002,98.519997,95.040001,96.059998,NaN,NaN
241709400,96.059998,97.760002,95.589996,97.449997,NaN,NaN
242314200,97.449997,98.43,95.970001,96.370003,NaN,NaN
242919000,96.370003,97.309998,95.370003,96.480003,NaN,NaN
243523800,96.480003,96.589996,94.510002,95.040001,NaN,NaN
244128600,95.040001,96.849998,94.440002,96.529999,NaN,NaN
244733400,96.529999,97.269997,95.199997,95.970001,NaN,NaN
245338200,95.970001,96.150002,92.879997,93.559998,NaN,NaN
245943000,93.559998,94.190002,91.599998,92.32,NaN,NaN
246547800,92.32,93.150002,90.199997,92.610001,NaN,NaN
247156200,92.610001,93.029999,90.010002,91.580002,NaN,NaN
247761000,91.580002,96.489998,91.32,95.980003,NaN,NaN
248365800,95.980003,96.470001,94.589996,95.330002,NaN,NaN
248970600,95.330002,97.110001,94.589996,96.690002,NaN,NaN
249575400,96.690002,96.980003,93.779999,94.669998,NaN,NaN
250180200,94.669998,95.010002,92.150002,93.650002,NaN,NaN
250785000,93.650002,94.419998,92.900002,93.400002,NaN,NaN
251389800,93.400002,94.989998,91.760002,94.690002,NaN,NaN
251994600,94.690002,95.669998,93.989998,95.099998,NaN,NaN
252599400,95.099998,95.150002,91.050003,91.620003,NaN,NaN
253204200,91.480003,91.480003,89.230003,89.690002,NaN,NaN
253809000,89.690002,91.040001,88.879997,89.889999,NaN,NaN
254413800,89.889999,90.080002,88.019997,88.580002,NaN,NaN
255018600,88.580002,90.910004,88.260002,89.620003,NaN,NaN
255623400,89.620003,91.32,88.949997,90.080002,NaN,NaN
256228200,90.080002,90.300003,87.550003,87.959999,NaN,NaN
256833000,87.959999,88.870003,86.830002,88.489998,NaN,NaN
257437800,88.489998,88.970001,86.449997,87.449997,NaN,NaN
258042600,87.449997,89.25,86.480003,88.879997,NaN,NaN
258647400,88.879997,90.519997,88.209999,90.199997,NaN,NaN
259252200,90.199997,91.349998,88.830002,89.360001,NaN,NaN
259857000,89.360001,90.169998,88.470001,89.209999,NaN,NaN
260461800,89.199997,90.589996,88.07,90.169998,NaN,NaN
261066600,90.169998,93.309998,89.650002,92.919998,NaN,NaN
261671400,93.599998,95.889999,92.75,94.339996,NaN,NaN
262276200,94.339996,97.910004,94.080002,96.830002,NaN,NaN
262877400,96.830002,98.300003,94.57,96.529999,NaN,NaN
263482200,96.529999,98.889999,95.330002,98.07,NaN,NaN
264087000,98.07,100.32,97.400002,98.120003,NaN,NaN
264691800,98.120003,99.43,96.010002,96.580002,NaN,NaN
265296600,96.580002,98.519997,95.949997,98.139999,NaN,NaN
265901400,98.139999,101.839996,97.970001,99.93,NaN,NaN
266506200,99.93,100.68,97.099998,97.419998,NaN,NaN
267111000,97.419998,97.940002,95.419998,95.849998,NaN,NaN
267715800,95.849998,96.260002,93.989998,95.529999,NaN,NaN
268320600,95.529999,95.650002,93.589996,94.889999,NaN,NaN
268925400,94.889999,97.879997,94.279999,97.580002,NaN,NaN
269530200,97.580002,99.18,96.519997,97.75,NaN,NaN
270135000,97.75,100.510002,96.720001,100,NaN,NaN
270739800,100,105.410004,99.370003,103.919998,NaN,NaN
271344600,103.919998,105.720001,102.599998,103.959999,NaN,NaN
271949400,103.959999,106.269997,102.860001,104.730003,NaN,NaN
272554200,104.730003,105.860001,103.139999,104.900002,NaN,NaN
273159000,104.900002,105.139999,102.629997,103.68,NaN,NaN
273763800,103.68,107.190002,103.309998,106.790001,NaN,NaN
274368600,106.790001,108.050003,103.559998,104.120003,NaN,NaN
274973400,104.120003,105.029999,100.660004,101.839996,NaN,NaN
275578200,101.839996,103.440002,100.940002,102.540001,NaN,NaN
276183000,102.540001,104.230003,101.760002,103.519997,NaN,NaN
276787800,103.519997,106.230003,103.309998,104.660004,NaN,NaN
277392600,104.629997,104.629997,97.120003,97.949997,NaN,NaN
277997400,97.949997,98.949997,94.300003,94.589996,NaN,NaN
278605800,94.589996,97.410004,91.650002,96.18,NaN,NaN
279210600,96.18,96.489998,92.889999,94.769997,NaN,NaN
279815400,94.769997,95.029999,91.769997,94.419998,NaN,NaN
280420200,94.419998,96.169998,94.290001,95.790001,NaN,NaN
281025000,95.790001,96.690002,93.290001,96.279999,NaN,NaN
281629800,96.279999,98.580002,95.370003,96.629997,NaN,NaN
282234600,96.629997,97.580002,94.879997,95.330002,NaN,NaN
282839400,94.330002,96.620003,92.639999,96.309998,NaN,NaN
283444200,96.309998,97.889999,95.480003,96.110001,NaN,NaN
284049000,96.110001,99.790001,95.220001,99.129997,NaN,NaN
284653800,99.129997,100.910004,97.830002,99.93,NaN,NaN
285258600,99.93,101.129997,98.330002,99.75,NaN,NaN
